Price,Adj Close,Close,High,Low,Open,Volume
2024-04-22,488.0,488.0,506.0,485.0,499.25,350420
2024-04-24,487.5,487.5,492.75,480.5,491.25,245099
2024-04-25,494.5,494.5,495.0,485.5,487.5,280691
2024-04-26,496.0,496.0,500.5,493.75,496.25,232948
2024-04-29,508.0,508.0,508.5,490.5,496.0,353296
2024-04-30,523.5,523.5,524.5,504.5,508.0,522312
2024-05-02,514.0,514.0,525.0,507.5,524.0,447497
2024-05-03,519.0,519.0,531.0,517.0,517.5,401841
2024-05-06,546.0,546.0,550.0,515.5,521.0,582057
2024-05-07,565.0,565.0,565.0,542.0,546.0,667763
2024-05-08,552.0,552.0,569.0,552.0,565.0,403105
2024-05-09,560.5,560.5,562.0,550.5,556.0,346720
2024-05-10,554.0,554.0,564.0,541.0,560.5,502569
2024-05-13,517.0,517.0,539.0,513.0,531.5,792375
2024-05-14,542.0,542.0,543.0,506.0,517.0,596893
2024-05-15,547.5,547.5,560.5,535.0,540.0,443630
2024-05-16,561.0,561.0,562.5,541.0,546.5,310663
2024-05-17,567.0,567.0,570.0,555.5,561.0,458633
2024-05-20,576.0,576.0,581.5,562.5,566.0,468200
2024-05-21,577.0,577.0,585.0,569.5,575.5,670911
2024-05-22,606.5,606.5,614.5,572.0,577.0,589003
2024-05-23,631.5,631.5,637.0,601.5,606.0,503587
2024-05-24,610.5,610.5,635.0,601.5,629.0,527415
2024-05-27,620.5,620.5,628.0,607.0,612.0,261895
2024-05-28,622.0,622.0,626.0,613.5,620.5,172009
2024-05-29,622.5,622.5,631.0,617.5,622.0,207009
2024-05-30,607.0,607.0,624.5,596.5,622.5,311692
2024-05-31,609.5,609.5,625.5,600.0,607.0,271057
2024-06-03,616.5,616.5,622.5,608.5,609.5,287599
2024-06-04,607.5,607.5,622.0,598.0,616.0,318354
2024-06-05,610.5,610.5,616.0,591.0,606.0,295262
2024-06-06,601.0,601.0,615.5,601.0,610.0,202538
2024-06-07,601.0,601.0,604.0,592.0,601.0,202376
2024-06-10,567.0,567.0,601.5,553.0,601.5,608549
2024-06-11,570.5,570.5,574.0,562.0,567.0,234483
2024-06-12,585.0,585.0,587.0,566.0,570.5,181220
2024-06-13,622.0,622.0,623.0,591.0,599.5,410179
2024-06-14,619.0,619.0,627.0,606.5,622.0,302130
2024-06-20,637.5,637.5,643.0,620.0,620.0,354821
2024-06-21,643.0,643.0,645.0,631.0,637.5,239859
2024-06-24,649.0,649.0,655.5,635.5,638.5,332695
2024-06-25,652.0,652.0,657.0,639.0,647.5,196875
2024-06-26,652.0,652.0,660.0,638.0,652.0,323595
2024-06-27,643.0,643.0,654.0,630.0,651.5,260478
2024-06-28,659.0,659.0,667.0,638.0,643.0,345275
2024-07-01,631.0,631.0,675.5,621.0,659.0,579797
2024-07-02,631.0,631.0,644.0,625.0,631.5,370140
2024-07-03,640.0,640.0,640.0,626.0,633.5,325869
2024-07-04,656.0,656.0,660.5,633.0,640.0,289416
2024-07-05,637.5,637.5,658.5,634.5,655.0,331616
2024-07-08,622.0,622.0,639.0,610.5,638.5,486094
2024-07-09,612.0,612.0,622.5,608.0,622.0,413503
2024-07-10,617.0,617.0,625.0,599.5,611.5,342921
2024-07-11,641.0,641.0,641.0,617.0,620.0,419064
2024-07-12,639.0,639.0,651.5,635.5,640.5,402986
2024-07-16,623.0,623.0,646.0,623.0,643.5,292347
2024-07-17,617.0,617.0,626.0,603.0,623.5,366524
2024-07-18,620.5,620.5,627.5,613.5,617.0,191890
2024-07-19,611.0,611.0,623.5,610.0,620.5,166446
2024-07-22,619.0,619.0,625.0,590.5,611.0,201288
2024-07-23,619.5,619.5,625.0,612.0,619.0,243881
2024-07-24,607.0,607.0,619.5,601.0,619.5,333647
2024-07-25,607.5,607.5,612.0,601.5,607.0,165679
2024-07-26,601.0,601.0,608.0,596.5,607.5,148415
2024-07-29,592.0,592.0,606.5,592.0,592.0,124673
2024-07-30,610.5,610.5,610.5,587.0,592.5,135233
2024-07-31,610.5,610.5,610.5,591.5,610.0,227588
2024-08-01,592.0,592.0,598.5,583.5,596.0,400887
2024-08-02,577.5,577.5,591.0,567.0,591.0,317284
2024-08-05,541.0,541.0,561.0,530.0,559.0,274468
2024-08-06,542.0,542.0,553.5,541.5,547.5,210925
2024-08-07,548.0,548.0,554.5,538.5,546.0,139021
2024-08-08,540.0,540.0,552.0,538.0,550.0,226811
2024-08-09,532.5,532.5,549.0,529.0,545.0,271236
2024-08-12,515.5,515.5,540.0,515.0,532.5,214416
2024-08-13,537.5,537.5,537.5,509.0,515.5,275766
2024-08-14,521.5,521.5,547.0,515.0,539.0,557901
2024-08-15,523.0,523.0,525.5,504.0,523.5,375409
2024-08-16,517.0,517.0,524.0,515.0,521.5,281187
2024-08-21,502.0,502.0,512.5,501.5,507.5,199327
2024-08-22,501.0,501.0,507.5,495.0,505.0,203477
2024-08-23,487.75,487.75,502.5,480.0,501.0,345154
2024-08-26,475.0,475.0,491.0,472.25,491.0,338097
2024-08-27,470.0,470.0,483.5,469.25,475.0,328010
2024-08-28,469.0,469.0,474.75,466.25,472.0,424541
2024-08-29,467.75,467.75,476.5,460.5,469.0,560805
2024-09-02,471.75,471.75,476.75,467.25,470.0,608087
2024-09-03,459.0,459.0,477.5,458.5,477.0,609971
2024-09-04,447.25,447.25,460.75,441.0,454.5,928124
2024-09-05,451.0,451.0,457.0,446.0,449.25,629779
2024-09-06,446.75,446.75,454.5,445.5,451.5,324620
2024-09-09,443.5,443.5,449.75,441.0,443.0,249990
2024-09-10,448.0,448.0,453.75,442.75,446.0,316767
2024-09-11,434.0,434.0,448.5,434.0,448.0,373637
2024-09-12,441.0,441.0,443.5,428.5,437.75,438897
2024-09-13,456.25,456.25,460.0,439.0,441.0,331860
2024-09-16,450.0,450.0,467.0,450.0,456.25,309628
2024-09-17,456.0,456.0,458.5,450.5,453.5,215065
2024-09-18,450.25,450.25,458.0,449.5,455.75,266823
2024-09-19,458.5,458.5,459.75,448.5,453.75,272976
2024-09-20,456.75,456.75,465.25,451.75,458.25,208369
2024-09-23,453.0,453.0,461.75,451.0,457.0,158252
2024-09-24,463.0,463.0,467.5,451.75,453.0,434601
2024-09-25,448.5,448.5,465.0,448.5,463.25,315669
2024-09-26,448.25,448.25,456.0,442.0,451.0,252633
2024-09-27,444.5,444.5,450.0,440.25,448.25,148578
2024-09-30,440.5,440.5,444.5,438.0,443.75,103062
2024-10-01,428.0,428.0,442.0,425.0,441.0,199224
2024-10-02,415.25,415.25,439.5,407.0,428.0,345794
2024-10-03,415.25,415.25,428.0,413.75,415.25,417031
2024-10-04,420.0,420.0,421.0,410.75,416.5,232006
2024-10-07,462.0,462.0,462.0,462.0,462.0,123851
2024-10-08,480.5,480.5,508.0,472.25,508.0,3173859
2024-10-09,480.5,480.5,488.0,471.25,480.5,798301
2024-10-10,470.0,470.0,488.0,460.25,484.0,726422
2024-10-11,462.75,462.75,472.0,457.0,470.0,324574
2024-10-14,451.5,451.5,474.25,448.5,463.0,453076
2024-10-15,459.5,459.5,459.75,450.75,453.0,238756
2024-10-16,456.5,456.5,460.0,449.75,457.75,208094
2024-10-17,460.0,460.0,463.75,454.75,455.75,220814
2024-10-18,462.5,462.5,470.0,458.75,460.25,380491
2024-10-21,441.0,441.0,465.0,441.0,462.5,315126
2024-10-22,446.0,446.0,455.5,430.0,441.0,667090
2024-10-23,443.5,443.5,453.5,440.75,440.75,405973
2024-10-24,442.5,442.5,458.0,441.0,447.25,309927
2024-10-25,433.75,433.75,443.5,431.5,441.75,291259
2024-10-28,429.5,429.5,436.0,429.25,434.0,98124
2024-10-30,425.5,425.5,432.5,423.25,429.75,374175
2024-10-31,415.0,415.0,428.0,413.25,425.75,594905
2024-11-01,414.5,414.5,423.75,412.5,416.25,408062
2024-11-04,413.25,413.25,415.75,397.5,404.0,590786
2024-11-05,415.0,415.0,416.75,407.0,413.25,262670
2024-11-06,418.0,418.0,421.75,412.5,418.0,327013
2024-11-07,426.0,426.0,428.0,417.75,418.25,328718
2024-11-08,441.0,441.0,450.75,425.5,427.0,390611
2024-11-11,439.0,439.0,449.5,436.5,441.0,275400
2024-11-12,434.75,434.75,439.5,429.25,438.0,258565
2024-11-13,441.75,441.75,445.0,429.25,433.0,283253
2024-11-14,449.75,449.75,450.0,438.25,441.75,247385
2024-11-15,457.75,457.75,461.5,449.25,450.0,322003
2024-11-18,453.0,453.0,460.0,446.0,459.75,214759
2024-11-19,462.0,462.0,473.25,451.75,453.0,547056
2024-11-20,455.0,455.0,464.0,440.5,462.0,514019
2024-11-21,458.25,458.25,461.0,448.25,455.0,440202
2024-11-22,458.25,458.25,461.75,455.0,458.25,174180
2024-11-25,453.25,453.25,465.75,453.25,460.5,435755
2024-11-26,462.0,462.0,466.5,453.25,454.0,484554
2024-11-27,479.5,479.5,486.25,464.0,464.0,494005
2024-11-28,485.0,485.0,510.0,463.75,504.0,2301522
2024-11-29,474.25,474.25,485.5,463.5,485.0,1220684
2024-12-02,472.0,472.0,475.5,463.5,474.0,407558
2024-12-03,487.5,487.5,488.5,470.75,472.25,501602
2024-12-04,487.0,487.0,497.0,480.0,488.0,636414
2024-12-05,486.25,486.25,490.0,483.0,489.0,205069
2024-12-06,488.0,488.0,489.5,483.25,488.0,259788
2024-12-09,487.75,487.75,492.25,484.75,488.0,227783
2024-12-10,480.0,480.0,495.0,473.25,487.5,313450
